State,County,Preventable Hospital Stays,PCP Number,PCP Rate,MHP Number,MHP Rate,Smoking %,Obesity %,Physical Inactivy %,Mammogram %,Flu Vaccine %,Income 80%,Income 20%,Life Expectancy
Louisiana,Evangeline,8894.0,21.0,63.0,22.0,66.0,30,37,35,43.0,50.0,74689.0,13688.0,73.221285567
Louisiana,Franklin,7413.0,9.0,45.0,30.0,150.0,28,41,37,35.0,26.0,78748.0,12998.0,75.0420796
Louisiana,Grant,4278.0,2.0,9.0,15.0,67.0,26,45,40,40.0,42.0,80008.0,17362.0,75.848549163
Louisiana,Iberia,4267.0,34.0,48.0,106.0,152.0,25,41,28,42.0,46.0,94582.0,19123.0,74.873229594
Louisiana,Iberville,4275.0,11.0,34.0,82.0,252.0,24,38,24,39.0,48.0,105926.0,20489.0,76.103000204
Louisiana,Jackson,7406.0,3.0,19.0,17.0,108.0,27,37,31,41.0,39.0,90887.0,15263.0,76.368174331
Louisiana,Jefferson,4968.0,407.0,94.0,1159.0,268.0,20,33,25,41.0,43.0,109541.0,22388.0,77.419825007
Louisiana,Jefferson Davis,7612.0,15.0,47.0,63.0,201.0,25,39,31,39.0,45.0,102199.0,16521.0,73.857440971
Louisiana,Lafayette,4828.0,270.0,111.0,888.0,363.0,21,29,24,47.0,49.0,117800.0,21069.0,78.564291764
Louisiana,Lafourche,4830.0,45.0,46.0,161.0,165.0,25,37,30,45.0,46.0,108935.0,20510.0,77.106814086
Louisiana,La Salle,7463.0,9.0,60.0,14.0,94.0,27,40,31,40.0,23.0,91317.0,17128.0,75.366820256
Louisiana,Lincoln,5668.0,31.0,66.0,188.0,402.0,22,33,35,46.0,44.0,86791.0,13080.0,76.922294763
Louisiana,Livingston,4460.0,24.0,17.0,157.0,112.0,25,38,32,40.0,49.0,123360.0,25910.0,76.743016487
Louisiana,Madison,7594.0,4.0,36.0,67.0,612.0,30,39,29,38.0,20.0,67870.0,10825.0,72.012720689
Louisiana,Morehouse,8335.0,8.0,31.0,88.0,354.0,28,43,33,32.0,40.0,68939.0,12792.0,71.367561284
Louisiana,Natchitoches,5830.0,22.0,57.0,156.0,409.0,27,36,28,40.0,46.0,71863.0,10144.0,75.128494348
Louisiana,Orleans,4729.0,401.0,103.0,2173.0,557.0,20,31,22,40.0,39.0,103101.0,13448.0,77.03599196
Louisiana,Ouachita,6448.0,134.0,87.0,767.0,500.0,24,43,31,43.0,46.0,94334.0,15547.0,75.021937101
Louisiana,Plaquemines,3083.0,4.0,17.0,29.0,125.0,22,38,28,39.0,32.0,116525.0,21449.0,77.576953933
Louisiana,Pointe Coupee,3652.0,6.0,27.0,23.0,106.0,24,35,30,41.0,35.0,97117.0,13059.0,76.248097071
Louisiana,Rapides,4423.0,114.0,87.0,671.0,518.0,25,40,31,43.0,46.0,99042.0,18310.0,74.389065939
Louisiana,Red River,11625.0,2.0,24.0,7.0,83.0,27,28,34,37.0,34.0,81554.0,13028.0,73.314854166
Louisiana,Richland,8567.0,13.0,64.0,96.0,477.0,27,37,25,39.0,26.0,85734.0,14047.0,74.238348109
Louisiana,Sabine,7285.0,3.0,12.0,32.0,134.0,26,51,33,35.0,39.0,82512.0,15554.0,76.037301914
Louisiana,St. Bernard,5488.0,11.0,24.0,164.0,347.0,26,42,31,33.0,38.0,90299.0,17192.0,75.363210946
Louisiana,St. Charles,4773.0,19.0,36.0,76.0,143.0,19,42,26,45.0,43.0,136747.0,28670.0,77.572374724
